model,disease,run,llm_n,kept,dropped,coverage,zero_kept
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run001,10,3,7,0.300,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run001,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run001,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run001,9,2,7,0.222,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run001,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run001,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run002,10,3,7,0.300,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run002,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run002,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run002,10,3,7,0.300,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run002,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run002,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run003,10,3,7,0.300,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run003,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run003,10,5,5,0.500,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run003,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run003,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run003,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run004,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run004,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run004,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run004,9,2,7,0.222,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run004,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run004,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run005,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run005,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run005,10,6,4,0.600,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run005,10,3,7,0.300,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run005,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run005,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run006,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run006,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run006,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run006,10,3,7,0.300,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run006,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run006,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run007,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run007,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run007,10,6,4,0.600,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run007,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run007,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run007,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run008,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run008,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run008,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run008,10,3,7,0.300,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run008,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run008,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run009,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run009,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run009,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run009,9,2,7,0.222,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run009,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run009,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run010,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run010,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run010,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run010,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run010,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run010,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run011,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run011,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run011,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run011,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run011,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run011,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run012,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run012,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run012,10,5,5,0.500,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run012,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run012,10,6,4,0.600,0
