disease,model,run,llm_n,overlap_panther,overlap_enrichr,overlap_gprofiler,overlap_union,union_size,jaccard_union,recall_union
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run001,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run001,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run001,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run001,9,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run001,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run001,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run002,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run002,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run002,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run002,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run002,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run002,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run003,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run003,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run003,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run003,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run003,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run003,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run004,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run004,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run004,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run004,9,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run004,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run004,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run005,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run005,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run005,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run005,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run005,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run005,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run006,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run006,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run006,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run006,10,0,0,0,0,19,0.000,0.000
