model,disease,n_runs,overlap_union_mean,overlap_union_sd,jaccard_mean,jaccard_sd,recall_mean,recall_sd,overlap_panther_mean,overlap_enrichr_mean,overlap_gprofiler_mean
groq-gpt-oss-120b,alzheimers_disease,87,1.000,0.000,0.037,0.000,0.056,0.000,0.000,0.000,1.000
groq-gpt-oss-120b,hereditary_cancer,87,3.000,0.000,0.107,0.000,0.143,0.000,3.000,2.000,1.000
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,87,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
groq-gpt-oss-120b,parkinsons_disease,87,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
groq-gpt-oss-120b,primary_immunodeficiency,87,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
groq-gpt-oss-120b,type2_diabetes,87,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
groq-qwen3.8-27b,alzheimers_disease,92,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
groq-qwen3.8-27b,hereditary_cancer,92,0.598,0.493,0.020,0.016,0.028,0.023,0.000,0.598,0.000
groq-qwen3.8-27b,hypertrophic_cardiomyopathy,92,1.000,0.000,0.033,0.001,0.045,0.000,1.000,0.000,0.000
groq-qwen3.8-27b,parkinsons_disease,92,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
groq-qwen3.8-27b,primary_immunodeficiency,92,0.402,0.493,0.013,0.016,0.018,0.022,0.402,0.000,0.402
groq-qwen3.8-27b,type2_diabetes,92,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
qwen2.5-7b,alzheimers_disease,36,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
qwen2.5-7b,hereditary_cancer,36,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
qwen2.5-7b,hypertrophic_cardiomyopathy,36,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
qwen2.5-7b,parkinsons_disease,36,1.000,0.000,0.037,0.000,0.053,0.000,0.000,0.000,1.000
qwen2.5-7b,primary_immunodeficiency,36,1.000,0.000,0.032,0.000,0.045,0.000,1.000,0.000,0.000
qwen2.5-7b,type2_diabetes,36,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
