model,excluded_disease,n_runs,valid_rate
groq-gpt-oss-120b,alzheimers_disease,87,0.3433
groq-gpt-oss-120b,hereditary_cancer,87,0.3205
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,87,0.3459
groq-gpt-oss-120b,parkinsons_disease,87,0.3726
groq-gpt-oss-120b,primary_immunodeficiency,87,0.2997
groq-gpt-oss-120b,type2_diabetes,87,0.4208
groq-qwen3.8-27b,alzheimers_disease,92,0.2114
groq-qwen3.8-27b,hereditary_cancer,92,0.1446
groq-qwen3.8-27b,hypertrophic_cardiomyopathy,92,0.1992
groq-qwen3.8-27b,parkinsons_disease,92,0.2018
groq-qwen3.8-27b,primary_immunodeficiency,92,0.2238
groq-qwen3.8-27b,type2_diabetes,92,0.2259
qwen2.5-7b,alzheimers_disease,36,0.1429
qwen2.5-7b,hereditary_cancer,36,0.1633
qwen2.5-7b,hypertrophic_cardiomyopathy,36,0.1837
qwen2.5-7b,parkinsons_disease,36,0.1400
qwen2.5-7b,primary_immunodeficiency,36,0.1020
qwen2.5-7b,type2_diabetes,36,0.1837
