model,disease,run,llm_ids,unsupported,ane,valid_enriched
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run001,10,1,6,3
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run001,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run001,10,6,1,3
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run001,9,1,6,2
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run001,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run001,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run002,10,1,6,3
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run002,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run002,10,6,1,3
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run002,10,1,6,3
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run002,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run002,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run003,10,1,6,3
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run003,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run003,10,3,2,5
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run003,10,1,7,2
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run003,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run003,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run004,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run004,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run004,10,6,1,3
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run004,9,1,6,2
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run004,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run004,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run005,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run005,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run005,10,3,1,6
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run005,10,1,6,3
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run005,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run005,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run006,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run006,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run006,10,6,1,3
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run006,10,1,6,3
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run006,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run006,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run007,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run007,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run007,10,3,1,6
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run007,10,1,7,2
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run007,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run007,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run008,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run008,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run008,10,6,1,3
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run008,10,1,6,3
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run008,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run008,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run009,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run009,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run009,10,6,1,3
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run009,9,1,6,2
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run009,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run009,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run010,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run010,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run010,10,6,1,3
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run010,10,1,7,2
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run010,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run010,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run011,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run011,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run011,10,6,1,3
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run011,10,1,7,2
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run011,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run011,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run012,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run012,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run012,10,3,2,5
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run012,10,1,7,2
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run012,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run012,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run013,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run013,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run013,10,6,1,3
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run013,10,1,6,3
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run013,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run013,10,0,10,0
