disease,term_id,appeared_in_runs,n_runs,stability
alzheimers_disease,GO:0034599,87,87,1.00
alzheimers_disease,GO:1902008,87,87,1.00
alzheimers_disease,GO:0006909,87,87,1.00
alzheimers_disease,GO:0007411,87,87,1.00
alzheimers_disease,GO:0033344,87,87,1.00
alzheimers_disease,GO:0099536,87,87,1.00
alzheimers_disease,GO:0006955,87,87,1.00
alzheimers_disease,GO:0006869,87,87,1.00
alzheimers_disease,GO:0050435,87,87,1.00
alzheimers_disease,GO:0001774,75,87,0.86
alzheimers_disease,GO:0042119,12,87,0.14
hereditary_cancer,GO:0006298,87,87,1.00
hereditary_cancer,GO:0007165,87,87,1.00
hereditary_cancer,GO:0006281,87,87,1.00
hereditary_cancer,GO:0006260,87,87,1.00
hereditary_cancer,GO:0007169,87,87,1.00
hereditary_cancer,GO:0006265,87,87,1.00
hereditary_cancer,GO:0007167,87,87,1.00
hereditary_cancer,GO:0008283,87,87,1.00
hereditary_cancer,GO:0006974,87,87,1.00
hereditary_cancer,GO:0006915,87,87,1.00
hypertrophic_cardiomyopathy,GO:0006949,87,87,1.00
hypertrophic_cardiomyopathy,GO:0007507,87,87,1.00
hypertrophic_cardiomyopathy,GO:0003013,87,87,1.00
hypertrophic_cardiomyopathy,GO:0008015,87,87,1.00
hypertrophic_cardiomyopathy,GO:0003265,60,87,0.69
hypertrophic_cardiomyopathy,GO:0003267,60,87,0.69
hypertrophic_cardiomyopathy,GO:0003268,60,87,0.69
hypertrophic_cardiomyopathy,GO:0003269,60,87,0.69
hypertrophic_cardiomyopathy,GO:0003266,60,87,0.69
hypertrophic_cardiomyopathy,GO:0003261,60,87,0.69
hypertrophic_cardiomyopathy,GO:0005515,27,87,0.31
hypertrophic_cardiomyopathy,GO:0051015,27,87,0.31
hypertrophic_cardiomyopathy,GO:0005884,27,87,0.31
hypertrophic_cardiomyopathy,GO:0006260,17,87,0.20
hypertrophic_cardiomyopathy,GO:0005509,17,87,0.20
hypertrophic_cardiomyopathy,GO:0007268,17,87,0.20
hypertrophic_cardiomyopathy,GO:0006936,10,87,0.11
hypertrophic_cardiomyopathy,GO:0002020,10,87,0.11
hypertrophic_cardiomyopathy,GO:0002021,10,87,0.11
parkinsons_disease,GO:0008289,87,87,1.00
parkinsons_disease,GO:0007269,87,87,1.00
parkinsons_disease,GO:0007610,87,87,1.00
parkinsons_disease,GO:0007268,87,87,1.00
parkinsons_disease,GO:0007611,87,87,1.00
parkinsons_disease,GO:0007267,87,87,1.00
parkinsons_disease,GO:0006915,87,87,1.00
parkinsons_disease,GO:0003008,71,87,0.82
parkinsons_disease,GO:0006412,42,87,0.48
parkinsons_disease,GO:0006974,32,87,0.37
parkinsons_disease,GO:0043065,29,87,0.33
parkinsons_disease,GO:0043066,29,87,0.33
parkinsons_disease,GO:0006414,26,87,0.30
parkinsons_disease,GO:0007265,16,87,0.18
primary_immunodeficiency,GO:0007259,87,87,1.00
primary_immunodeficiency,GO:0007165,87,87,1.00
primary_immunodeficiency,GO:0002250,87,87,1.00
primary_immunodeficiency,GO:0045087,87,87,1.00
primary_immunodeficiency,GO:0006289,87,87,1.00
primary_immunodeficiency,GO:0045088,78,87,0.90
primary_immunodeficiency,GO:0007166,70,87,0.80
primary_immunodeficiency,GO:0006285,58,87,0.67
primary_immunodeficiency,GO:0006281,58,87,0.67
primary_immunodeficiency,GO:0006284,58,87,0.67
primary_immunodeficiency,GO:0002218,29,87,0.33
primary_immunodeficiency,GO:0006954,29,87,0.33
primary_immunodeficiency,GO:0045089,17,87,0.20
primary_immunodeficiency,GO:0002252,13,87,0.15
primary_immunodeficiency,GO:0016570,12,87,0.14
primary_immunodeficiency,GO:0007169,6,87,0.07
primary_immunodeficiency,GO:0042127,4,87,0.05
primary_immunodeficiency,GO:0019221,3,87,0.03
type2_diabetes,GO:0007166,87,87,1.00
type2_diabetes,GO:0006096,87,87,1.00
type2_diabetes,GO:0007165,87,87,1.00
type2_diabetes,GO:0007167,87,87,1.00
type2_diabetes,GO:0007169,87,87,1.00
type2_diabetes,GO:0008283,87,87,1.00
type2_diabetes,GO:0006099,87,87,1.00
type2_diabetes,GO:0008152,87,87,1.00
type2_diabetes,GO:0007163,68,87,0.78
type2_diabetes,GO:0006954,68,87,0.78
type2_diabetes,GO:0008150,19,87,0.22
type2_diabetes,GO:0008284,19,87,0.22
