disease,term_id,appeared_in_runs,n_runs,stability
alzheimers_disease,GO:0007517,92,92,1.00
alzheimers_disease,GO:0007596,92,92,1.00
alzheimers_disease,GO:0007155,92,92,1.00
alzheimers_disease,GO:0007600,92,92,1.00
alzheimers_disease,GO:0007399,92,92,1.00
alzheimers_disease,GO:0006915,92,92,1.00
alzheimers_disease,GO:0007417,92,92,1.00
alzheimers_disease,GO:0008289,52,92,0.57
alzheimers_disease,GO:0007610,52,92,0.57
alzheimers_disease,GO:0043085,52,92,0.57
alzheimers_disease,GO:0009605,40,92,0.43
alzheimers_disease,GO:0030183,40,92,0.43
alzheimers_disease,GO:0008283,40,92,0.43
hereditary_cancer,GO:0007189,92,92,1.00
hereditary_cancer,GO:0007186,92,92,1.00
hereditary_cancer,GO:0007596,92,92,1.00
hereditary_cancer,GO:0007265,92,92,1.00
hereditary_cancer,GO:0006915,92,92,1.00
hereditary_cancer,GO:0030512,92,92,1.00
hereditary_cancer,GO:0051726,55,92,0.60
hereditary_cancer,GO:0008283,55,92,0.60
hereditary_cancer,GO:0032790,55,92,0.60
hereditary_cancer,GO:0009966,55,92,0.60
hereditary_cancer,GO:0045893,37,92,0.40
hereditary_cancer,GO:0030198,37,92,0.40
hereditary_cancer,GO:0007275,37,92,0.40
hereditary_cancer,GO:0007185,37,92,0.40
hypertrophic_cardiomyopathy,GO:0007517,92,92,1.00
hypertrophic_cardiomyopathy,GO:0007507,92,92,1.00
hypertrophic_cardiomyopathy,GO:0030027,92,92,1.00
hypertrophic_cardiomyopathy,GO:0007516,92,92,1.00
hypertrophic_cardiomyopathy,GO:0007519,92,92,1.00
hypertrophic_cardiomyopathy,GO:0003299,92,92,1.00
hypertrophic_cardiomyopathy,GO:0006928,92,92,1.00
hypertrophic_cardiomyopathy,GO:0006979,92,92,1.00
hypertrophic_cardiomyopathy,GO:0003304,52,92,0.57
hypertrophic_cardiomyopathy,GO:0007518,40,92,0.43
hypertrophic_cardiomyopathy,GO:0003301,40,92,0.43
parkinsons_disease,GO:0006950,92,92,1.00
parkinsons_disease,GO:0007186,92,92,1.00
parkinsons_disease,GO:0007596,92,92,1.00
parkinsons_disease,GO:0007185,92,92,1.00
parkinsons_disease,GO:0007180,92,92,1.00
parkinsons_disease,GO:0008283,92,92,1.00
parkinsons_disease,GO:0006915,92,92,1.00
parkinsons_disease,GO:0007267,92,92,1.00
parkinsons_disease,GO:0030512,92,92,1.00
parkinsons_disease,GO:0009628,92,92,1.00
primary_immunodeficiency,GO:0002576,92,92,1.00
primary_immunodeficiency,GO:0006974,92,92,1.00
primary_immunodeficiency,GO:0002574,92,92,1.00
primary_immunodeficiency,GO:0002404,92,92,1.00
primary_immunodeficiency,GO:0002575,92,92,1.00
primary_immunodeficiency,GO:0002549,92,92,1.00
primary_immunodeficiency,GO:0002548,92,92,1.00
primary_immunodeficiency,GO:0007165,55,92,0.60
primary_immunodeficiency,GO:0007186,55,92,0.60
primary_immunodeficiency,GO:0007155,55,92,0.60
primary_immunodeficiency,GO:0006970,37,92,0.40
primary_immunodeficiency,GO:0006915,37,92,0.40
primary_immunodeficiency,GO:0006955,37,92,0.40
type2_diabetes,GO:0007189,92,92,1.00
type2_diabetes,GO:0007186,92,92,1.00
type2_diabetes,GO:0007185,92,92,1.00
type2_diabetes,GO:0006915,92,92,1.00
type2_diabetes,GO:0007184,33,92,0.36
type2_diabetes,GO:0007154,33,92,0.36
type2_diabetes,GO:0007156,33,92,0.36
type2_diabetes,GO:0007155,33,92,0.36
type2_diabetes,GO:0007180,33,92,0.36
type2_diabetes,GO:0007159,33,92,0.36
