disease,term_id,appeared_in_runs,n_runs,stability
alzheimers_disease,GO:0007615,36,36,1.00
alzheimers_disease,GO:0007612,36,36,1.00
alzheimers_disease,GO:0007617,36,36,1.00
alzheimers_disease,GO:0007632,36,36,1.00
alzheimers_disease,GO:0007601,36,36,1.00
alzheimers_disease,GO:0007624,36,36,1.00
alzheimers_disease,GO:0007626,36,36,1.00
alzheimers_disease,GO:0007628,36,36,1.00
alzheimers_disease,GO:0007622,36,36,1.00
alzheimers_disease,GO:0007619,36,36,1.00
hereditary_cancer,GO:0007049,36,36,1.00
hereditary_cancer,GO:0007568,36,36,1.00
hereditary_cancer,GO:0007269,36,36,1.00
hereditary_cancer,GO:0007260,36,36,1.00
hereditary_cancer,GO:0007268,36,36,1.00
hereditary_cancer,GO:0007258,36,36,1.00
hereditary_cancer,GO:0007599,36,36,1.00
hereditary_cancer,GO:0007597,36,36,1.00
hereditary_cancer,GO:0007584,36,36,1.00
hereditary_cancer,GO:0007261,36,36,1.00
hypertrophic_cardiomyopathy,GO:0007615,36,36,1.00
hypertrophic_cardiomyopathy,GO:0007184,36,36,1.00
hypertrophic_cardiomyopathy,GO:0007614,36,36,1.00
hypertrophic_cardiomyopathy,GO:0007612,36,36,1.00
hypertrophic_cardiomyopathy,GO:0007192,36,36,1.00
hypertrophic_cardiomyopathy,GO:0007616,36,36,1.00
hypertrophic_cardiomyopathy,GO:0007617,36,36,1.00
hypertrophic_cardiomyopathy,GO:0007618,36,36,1.00
hypertrophic_cardiomyopathy,GO:0007602,36,36,1.00
hypertrophic_cardiomyopathy,GO:0007584,36,36,1.00
parkinsons_disease,GO:0009885,36,36,1.00
parkinsons_disease,GO:0007611,36,36,1.00
parkinsons_disease,GO:0007165,36,36,1.00
parkinsons_disease,GO:0007601,36,36,1.00
parkinsons_disease,GO:0007048,36,36,1.00
parkinsons_disease,GO:0007264,36,36,1.00
parkinsons_disease,GO:0016021,36,36,1.00
parkinsons_disease,GO:0007597,36,36,1.00
parkinsons_disease,GO:0006979,36,36,1.00
primary_immunodeficiency,GO:0002253,36,36,1.00
primary_immunodeficiency,GO:0019211,36,36,1.00
primary_immunodeficiency,GO:0009987,36,36,1.00
primary_immunodeficiency,GO:0002684,36,36,1.00
primary_immunodeficiency,GO:0002682,36,36,1.00
primary_immunodeficiency,GO:0002256,36,36,1.00
primary_immunodeficiency,GO:0002257,36,36,1.00
primary_immunodeficiency,GO:0002250,36,36,1.00
primary_immunodeficiency,GO:0002774,36,36,1.00
primary_immunodeficiency,GO:0006974,36,36,1.00
type2_diabetes,GO:0007228,36,36,1.00
type2_diabetes,GO:0007166,36,36,1.00
type2_diabetes,GO:0006355,36,36,1.00
type2_diabetes,GO:0007230,36,36,1.00
type2_diabetes,GO:0007216,36,36,1.00
type2_diabetes,GO:0007227,36,36,1.00
type2_diabetes,GO:0007067,36,36,1.00
type2_diabetes,GO:0007225,36,36,1.00
type2_diabetes,GO:0007229,36,36,1.00
type2_diabetes,GO:0007226,36,36,1.00
